Nama,Harga (IDR),RAM (GB),Penyimpanan (GB)
LENOVO Legion Y520-15IKBN,15.817.500,8,1000
ASUS ROG Zephyrus,28.254.000,8,1000
ACER Aspire Vero,12.699.000, 8,512
DELL Inspiron 3501,8.173.000,4,256
LENOVO IdeaPad Flex 5,12.599.000,16,512
MSI Summit E14 Evo,20.000.000,16,1000
Apple MacBook Air M2,20.000.000,8,256
Apple MacBook Pro M1,31.799.000,14,512
Lenovo ThinkPad X270,1.700.000,4,128
Lenovo ThinkPad X280,2.390.000,8,128
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
ASUS VivoBook A416MAO,4.749.000,8,256
